"prior_set","rep","param","bias","covered"
"current",35,"beta2",-0.347292082142247,1
"current",35,"beta_bm",-0.312952731876768,1
"current",35,"sigma_y",-0.0276206017562499,1
"current",35,"tau0",0.0298122689018749,1
"current",35,"tau1",0.127483196725,1
"current",35,"gamma0",0.69164697075625,1
"current",35,"gamma1",0.211573574236815,1
"current",35,"gamma2",1.08845499898578,1
"current",35,"alpha",0.20767788926875,1
"current",36,"beta0",-0.4738720512875,1
"current",36,"beta1",0.74226163279375,0
"current",36,"beta2",-0.368342694928816,1
"current",36,"beta_bm",0.174942150102902,1
"current",36,"sigma_y",0.00888169108750003,1
"current",36,"tau0",-0.232147804645,1
"current",36,"tau1",-0.0480971506499999,1
"current",36,"gamma0",-0.46277466749375,1
"current",36,"gamma1",0.200494755930671,1
"current",36,"gamma2",1.30944635864448,0
"current",36,"alpha",0.096068312009375,1
"current",37,"beta0",0.25689425385,1
"current",37,"beta1",0.380941492325,1
"current",37,"beta2",-0.083646536888125,1
"current",37,"beta_bm",-0.161170254872373,1
"current",37,"sigma_y",0.0341450965250001,1
"current",37,"tau0",0.0642413162425,1
"current",37,"tau1",0.12269413463125,1
"current",37,"gamma0",1.81279909606875,0
"current",37,"gamma1",-0.0630815223173319,1
"current",37,"gamma2",-0.126781177808125,1
"current",37,"alpha",0.41131305455625,0
"current",38,"beta0",-0.0573450215687501,1
"current",38,"beta1",-0.0207575116749998,1
"current",38,"beta2",0.22118241696355,1
"current",38,"beta_bm",0.334525598874777,1
"current",38,"sigma_y",-0.0198547553812498,1
"current",38,"tau0",0.125929317205,1
"current",38,"tau1",-0.13433992118125,1
"current",38,"gamma0",0.71731811863125,1
"current",38,"gamma1",-0.269710175287648,1
"current",38,"gamma2",1.08648073753188,1
"current",38,"alpha",0.32999604421875,1
"current",39,"beta0",0.861652220834375,0
"current",39,"beta1",0.00359762595000035,1
"current",39,"beta2",-0.0192985701889438,1
"current",39,"beta_bm",-0.494286688659536,0
"current",39,"sigma_y",0.0924214195562501,1
"current",39,"tau0",-0.134014157435625,1
"current",39,"tau1",-0.0343209215562501,1
"current",39,"gamma0",0.626336733600001,1
"current",39,"gamma1",-0.497552612726085,1
"current",39,"gamma2",0.85875348202,1
"current",39,"alpha",-0.135419275525,1
"current",40,"beta0",-0.0696688427250001,1
"current",40,"beta1",0.29113792841875,1
"current",40,"beta2",-0.0104415947847938,1
"current",40,"beta_bm",-0.0427085257355355,1
"current",40,"sigma_y",0.0457820430562501,1
"current",40,"tau0",0.09930034398,1
"current",40,"tau1",-0.25822955974375,1
"current",40,"gamma0",0.38323191381875,1
"current",40,"gamma1",-0.381974413092241,1
"current",40,"gamma2",0.82285079700475,1
"current",40,"alpha",0.1040621977,1
"wide2",1,"beta0",0.00794864914999982,1
"wide2",1,"beta1",0.236487330075,1
"wide2",1,"beta2",-0.165417233489591,1
"wide2",1,"beta_bm",-0.218518853293504,1
"wide2",1,"sigma_y",-0.0121088549124999,1
"wide2",1,"tau0",-0.0511008413356251,1
"wide2",1,"tau1",0.394476621475,1
"wide2",1,"gamma0",-0.471593736618749,1
"wide2",1,"gamma1",0.161261036882256,1
"wide2",1,"gamma2",0.882354205736744,1
"wide2",1,"alpha",-0.1822093489625,1
"wide2",2,"beta0",0.0182844103374999,1
"wide2",2,"beta1",-0.0763797602374998,1
"wide2",2,"beta2",0.101294689747706,1
"wide2",2,"beta_bm",0.090335325624777,1
"wide2",2,"sigma_y",0.0111096389312502,1
"wide2",2,"tau0",0.02140721177375,1
"wide2",2,"tau1",-0.30110291036875,1
"wide2",2,"gamma0",-0.4385468797125,1
"wide2",2,"gamma1",-0.453365461978397,1
"wide2",2,"gamma2",1.72365498837926,0
"wide2",2,"alpha",0.095519517609375,1
"wide2",3,"beta0",-0.24506208463125,1
"wide2",3,"beta1",0.56593563710625,1
"wide2",3,"beta2",-0.264426665168133,1
"wide2",3,"beta_bm",0.180580151974777,1
"wide2",3,"sigma_y",-0.0354106158187499,1
"wide2",3,"tau0",-0.059459647445,1
"wide2",3,"tau1",-0.243125620525,1
"wide2",3,"gamma0",-0.638402364056249,1
"wide2",3,"gamma1",-0.215943878530072,1
"wide2",3,"gamma2",1.09077748573066,1
"wide2",3,"alpha",0.0552987790625001,1
"wide2",4,"beta0",-0.0451798310375002,1
"wide2",4,"beta1",-0.12757572801875,1
"wide2",4,"beta2",0.09350969283005,1
"wide2",4,"beta_bm",0.043464164681027,1
"wide2",4,"sigma_y",0.0158417441500001,1
"wide2",4,"tau0",0.21164827804875,1
"wide2",4,"tau1",-0.2487297283375,1
"wide2",4,"gamma0",1.2760535321,1
"wide2",4,"gamma1",0.243488580140542,1
"wide2",4,"gamma2",-0.337816338714375,1
"wide2",4,"alpha",0.336573914584375,1
"wide2",5,"beta0",0.210724994375,1
"wide2",5,"beta1",0.16404043279375,1
"wide2",5,"beta2",-0.255646714203181,1
"wide2",5,"beta_bm",-0.0595839413548167,1
"wide2",5,"sigma_y",-0.06520056294375,1
"wide2",5,"tau0",0.165924697205,1
"wide2",5,"tau1",0.4369109056625,0
"wide2",5,"gamma0",0.744931755256251,1
"wide2",5,"gamma1",-0.751125258030335,1
"wide2",5,"gamma2",1.043960618133,1
"wide2",5,"alpha",0.116042545284375,1
"wide2",6,"beta0",-0.32499741094375,1
"wide2",6,"beta1",0.78018207871875,1
"wide2",6,"beta2",-0.525062801834551,0
"wide2",6,"beta_bm",0.158617701793527,1
"wide2",6,"sigma_y",-0.03224513131875,1
"wide2",6,"tau0",-0.167249936041875,1
"wide2",6,"tau1",0.2014547854125,1
"wide2",6,"gamma0",-0.522949776775,1
"wide2",6,"gamma1",-0.157587902017616,1
"wide2",6,"gamma2",0.1664327458115,1
"wide2",6,"alpha",-0.135749473559375,1
"wide2",7,"beta0",-0.0383986697875001,1
"wide2",7,"beta1",-0.3117980727375,1
"wide2",7,"beta2",0.223198371710769,1
"wide2",7,"beta_bm",0.155901869571652,1
"wide2",7,"sigma_y",-0.0121842519749999,1
"wide2",7,"tau0",0.084851750570625,1
"wide2",7,"tau1",0.19463740581875,1
"wide2",7,"gamma0",-1.0926088589,1
"wide2",7,"gamma1",-0.280589512640523,1
"wide2",7,"gamma2",0.808541864153053,1
"wide2",7,"alpha",-0.1810421603375,1
"wide2",8,"beta0",0.0586563521499999,1
"wide2",8,"beta1",0.51348880495,1
"wide2",8,"beta2",-0.160957211231153,1
"wide2",8,"beta_bm",-0.261145930802281,1
"wide2",8,"sigma_y",-0.0210463120375,1
"wide2",8,"tau0",-0.230599553766875,1
"wide2",8,"tau1",0.0784863962562499,1
"wide2",8,"gamma0",-3.5190080205875,0
"wide2",8,"gamma1",0.439430728173865,1
"wide2",8,"gamma2",0.745803377948151,1
"wide2",8,"alpha",-0.86325681130625,0
"wide2",9,"beta0",-0.386972615975,1
"wide2",9,"beta1",-0.16084745964375,1
"wide2",9,"beta2",-0.168155862670483,1
"wide2",9,"beta_bm",0.292024674412277,1
"wide2",9,"sigma_y",0.0464025447125,1
"wide2",9,"tau0",-0.1371694778075,1
"wide2",9,"tau1",0.0644241949437498,1
"wide2",9,"gamma0",0.8880612379125,1
"wide2",9,"gamma1",-0.118977568583148,1
"wide2",9,"gamma2",0.0222688984262502,1
"wide2",9,"alpha",0.255993747965625,1
"wide2",10,"beta0",0.172214023965625,1
"wide2",10,"beta1",-0.1595697116125,1
"wide2",10,"beta2",0.0304793845535744,1
"wide2",10,"beta_bm",-0.252428373450145,1
"wide2",10,"sigma_y",0.0628221394625001,1
"wide2",10,"tau0",-0.18612008253875,1
"wide2",10,"tau1",-0.0479157365250003,1
"wide2",10,"gamma0",-0.32331885980625,1
"wide2",10,"gamma1",0.0122137959406493,1
"wide2",10,"gamma2",0.508017555965935,1
