"task_id","scen_id","tag","n","rep","param","post_mean","truth","bias","covered","ci_width","ndiv","ebfmi","rhat_max","comp_fail","dgm_tag","label","truth_defined","ess_min","fit_bad","fit_marginal","ess_tail_min"
"s01_central_n87_r008",1,"central",87,8,"beta0",-2.13012455215625,-2.07,-0.0601245521562501,1,1.00783821,0,0.578185115934773,1.0093209927884,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r008",1,"central",87,8,"beta1",-3.3168090871875,-3.56,0.2431909128125,1,1.61426255,0,0.578185115934773,1.0093209927884,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r008",1,"central",87,8,"beta2",0.427255403702982,0.5,-0.0727445962970185,1,0.7916459114,0,0.578185115934773,1.0093209927884,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r008",1,"central",87,8,"beta_bm",0.326200651848425,0.61,-0.283799348151575,1,0.662928630275,0,0.578185115934773,1.0093209927884,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r008",1,"central",87,8,"sigma_y",1.8426115695,1.81,0.0326115695,1,0.1856037825,0,0.578185115934773,1.0093209927884,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r008",1,"central",87,8,"tau0",1.22726340725,0.97,0.25726340725,1,0.5718636375,0,0.578185115934773,1.0093209927884,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r008",1,"central",87,8,"tau1",1.48779994102187,2.2,-0.712200058978125,0,0.6822722825,0,0.578185115934773,1.0093209927884,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r008",1,"central",87,8,"gamma0",-3.28586486190625,-4.09,0.80413513809375,1,2.5847597025,0,0.578185115934773,1.0093209927884,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r008",1,"central",87,8,"gamma1",0.185496350021347,-0.23,0.415496350021347,1,1.32889056025,0,0.578185115934773,1.0093209927884,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r008",1,"central",87,8,"gamma2",-0.987635696168406,-1.83,0.842364303831594,1,2.2249652375,0,0.578185115934773,1.0093209927884,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r008",1,"central",87,8,"alpha",-0.913597861178125,-1.27,0.356402138821875,0,0.60845690225,0,0.578185115934773,1.0093209927884,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r009",1,"central",87,9,"beta0",-1.50673933595625,-2.07,0.56326066404375,0,0.906262515,0,0.612386025631567,1.00751818868643,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r009",1,"central",87,9,"beta1",-2.620162451575,-3.56,0.939837548425,0,1.542853975,0,0.612386025631567,1.00751818868643,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r009",1,"central",87,9,"beta2",0.282437145123678,0.5,-0.217562854876322,1,0.71525361835,0,0.612386025631567,1.00751818868643,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r009",1,"central",87,9,"beta_bm",0.204774208481044,0.61,-0.405225791518956,0,0.6015353126,0,0.612386025631567,1.00751818868643,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r009",1,"central",87,9,"sigma_y",1.83280879459375,1.81,0.0228087945937498,1,0.164128135,0,0.612386025631567,1.00751818868643,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r009",1,"central",87,9,"tau0",1.00566094714687,0.97,0.035660947146875,1,0.54699315575,0,0.612386025631567,1.00751818868643,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r009",1,"central",87,9,"tau1",1.96972513078125,2.2,-0.23027486921875,1,0.7174519225,0,0.612386025631567,1.00751818868643,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r009",1,"central",87,9,"gamma0",-4.3341960306875,-4.09,-0.2441960306875,1,2.883067995,0,0.612386025631567,1.00751818868643,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r009",1,"central",87,9,"gamma1",-0.226779692276219,-0.23,0.00322030772378126,1,1.49942100425,0,0.612386025631567,1.00751818868643,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r009",1,"central",87,9,"gamma2",-0.726173893897012,-1.83,1.10382610610299,1,2.3562887435,0,0.612386025631567,1.00751818868643,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r009",1,"central",87,9,"alpha",-1.36540293265938,-1.27,-0.0954029326593751,1,0.71357733,0,0.612386025631567,1.00751818868643,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r010",1,"central",87,10,"beta0",-2.2799163910625,-2.07,-0.2099163910625,1,0.98206582,0,0.685592298617248,1.00947233385692,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r010",1,"central",87,10,"beta1",-3.061138982625,-3.56,0.498861017375,1,1.681587055,0,0.685592298617248,1.00947233385692,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r010",1,"central",87,10,"beta2",0.33282798469209,0.5,-0.16717201530791,1,0.75708193055,0,0.685592298617248,1.00947233385692,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r010",1,"central",87,10,"beta_bm",0.545683593370531,0.61,-0.0643164066294687,1,0.6686552015,0,0.685592298617248,1.00947233385692,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r010",1,"central",87,10,"sigma_y",1.82061303875,1.81,0.0106130387499999,1,0.1692789925,0,0.685592298617248,1.00947233385692,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r010",1,"central",87,10,"tau0",0.900215638459375,0.97,-0.069784361540625,1,0.57407101475,0,0.685592298617248,1.00947233385692,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r010",1,"central",87,10,"tau1",2.26156241215625,2.2,0.0615624121562499,1,0.904954427500001,0,0.685592298617248,1.00947233385692,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r010",1,"central",87,10,"gamma0",-5.15919568578125,-4.09,-1.06919568578125,1,3.388383865,0,0.685592298617248,1.00947233385692,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r010",1,"central",87,10,"gamma1",0.152090348897353,-0.23,0.382090348897353,1,1.72608378625,0,0.685592298617248,1.00947233385692,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r010",1,"central",87,10,"gamma2",-1.43617148973753,-1.83,0.393828510262469,1,2.40026378025,0,0.685592298617248,1.00947233385692,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r010",1,"central",87,10,"alpha",-1.42756723249063,-1.27,-0.157567232490625,1,0.8119114525,0,0.685592298617248,1.00947233385692,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r011",1,"central",87,11,"beta0",-2.19694600346875,-2.07,-0.12694600346875,1,0.938807,0,0.605918035911343,1.00791464619258,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r011",1,"central",87,11,"beta1",-2.942761159875,-3.56,0.617238840125,1,1.5430147625,0,0.605918035911343,1.00791464619258,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r011",1,"central",87,11,"beta2",0.383476361779597,0.5,-0.116523638220403,1,0.71456544225,0,0.605918035911343,1.00791464619258,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r011",1,"central",87,11,"beta_bm",0.700693424683125,0.61,0.090693424683125,1,0.68517845625,0,0.605918035911343,1.00791464619258,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
"s01_central_n87_r011",1,"central",87,11,"sigma_y",1.849934029,1.81,0.0399340289999999,1,0.17264893,0,0.605918035911343,1.00791464619258,0,"v1_legacy_legacy_hazard",NA,TRUE,NA,0,0,NA
