"task_id","cell_id","model","n","informative","rep","dgm_tag","brier","cal_int","cal_slope","mean_pred","obs_rate","ndiv","ebfmi"
"c2_floor_n150_ni_r075",2,"floor",150,FALSE,75,"v2_cohort_posterior_hazard",0.114168642642305,1.31890044026614,1.65694658496774,0.536326442018782,0.68,0,0.618363338259892
"c2_floor_n150_ni_r076",2,"floor",150,FALSE,76,"v2_cohort_posterior_hazard",0.117867901150543,1.15861266116739,1.26375921284357,0.620637181259901,0.76,0,0.595793970521837
"c2_floor_n150_ni_r077",2,"floor",150,FALSE,77,"v2_cohort_posterior_hazard",0.093909909949752,1.17460568895679,2.10269805694247,0.575476082274913,0.686666666666667,0,0.602331291485862
"c2_floor_n150_ni_r078",2,"floor",150,FALSE,78,"v2_cohort_posterior_hazard",0.111503838380284,1.45758866526457,1.63315539088696,0.589027694212276,0.74,0,0.684840644357565
"c2_floor_n150_ni_r079",2,"floor",150,FALSE,79,"v2_cohort_posterior_hazard",0.141257163257024,1.28909150013659,1.07236426839415,0.604178327176225,0.773333333333333,0,0.604222082546012
"c2_floor_n150_ni_r080",2,"floor",150,FALSE,80,"v2_cohort_posterior_hazard",0.109503009547397,1.25782976342855,1.75122636979736,0.573935417649594,0.713333333333333,0,0.653083992925854
"c2_floor_n150_ni_r081",2,"floor",150,FALSE,81,"v2_cohort_posterior_hazard",0.103447873848418,0.874775524233669,1.65046952789761,0.612613580184008,0.726666666666667,0,0.575712943065946
"c2_floor_n150_ni_r082",2,"floor",150,FALSE,82,"v2_cohort_posterior_hazard",0.118038474984693,1.12939488351332,1.69476666118896,0.579257239939379,0.713333333333333,0,0.590473315962335
"c2_floor_n150_ni_r083",2,"floor",150,FALSE,83,"v2_cohort_posterior_hazard",0.131478170030294,1.41915715554598,1.74131571028744,0.549905163736117,0.706666666666667,0,0.616297984150252
"c2_floor_n150_ni_r084",2,"floor",150,FALSE,84,"v2_cohort_posterior_hazard",0.126440916281091,1.28704839977491,1.5819982409965,0.553047322914526,0.7,0,0.575471232954337
"c2_floor_n150_ni_r085",2,"floor",150,FALSE,85,"v2_cohort_posterior_hazard",0.0985494005960058,1.51517084176125,2.15427485682203,0.605765477220315,0.74,0,0.518491004243185
"c2_floor_n150_ni_r086",2,"floor",150,FALSE,86,"v2_cohort_posterior_hazard",0.0954243508747028,1.18391831220064,1.82780322015281,0.595225538364913,0.713333333333333,0,0.631257437053379
"c2_floor_n150_ni_r087",2,"floor",150,FALSE,87,"v2_cohort_posterior_hazard",0.112660360349177,1.2538997624581,1.64906605818097,0.588977318707588,0.733333333333333,0,0.581129416185685
"c2_floor_n150_ni_r088",2,"floor",150,FALSE,88,"v2_cohort_posterior_hazard",0.111547458241832,1.49589593772618,1.66909835037225,0.605967107191232,0.766666666666667,0,0.593332536699925
"c2_floor_n150_ni_r089",2,"floor",150,FALSE,89,"v2_cohort_posterior_hazard",0.125679006005472,1.16197765783133,1.56406791510163,0.507084811947707,0.64,0,0.630889323822387
"c2_floor_n150_ni_r090",2,"floor",150,FALSE,90,"v2_cohort_posterior_hazard",0.0833872314385479,1.75322683979576,2.43708557233043,0.650023198130506,0.8,0,0.582627881936573
"c2_floor_n150_ni_r091",2,"floor",150,FALSE,91,"v2_cohort_posterior_hazard",0.117578920333946,1.29273998073935,1.63264240697844,0.589187512438638,0.74,0,0.58566513360843
"c2_floor_n150_ni_r092",2,"floor",150,FALSE,92,"v2_cohort_posterior_hazard",0.109383002310312,1.8272138005781,1.73009271202748,0.597884723943628,0.766666666666667,0,0.616331388330121
"c2_floor_n150_ni_r093",2,"floor",150,FALSE,93,"v2_cohort_posterior_hazard",0.14835937779206,1.2709585687485,1.05986164352716,0.611335620286232,0.78,0,0.574645013907566
"c2_floor_n150_ni_r094",2,"floor",150,FALSE,94,"v2_cohort_posterior_hazard",0.132817705412233,1.42300406913199,1.35228298326861,0.581262958785037,0.746666666666667,0,0.602334601648931
"c2_floor_n150_ni_r095",2,"floor",150,FALSE,95,"v2_cohort_posterior_hazard",0.133729576892324,1.02687280160088,1.46675879306668,0.539527362472115,0.673333333333333,0,0.617681786134398
"c2_floor_n150_ni_r096",2,"floor",150,FALSE,96,"v2_cohort_posterior_hazard",0.0907610842654092,1.44684352608598,2.34573214947341,0.616860502634901,0.733333333333333,0,0.629937388335643
"c2_floor_n150_ni_r097",2,"floor",150,FALSE,97,"v2_cohort_posterior_hazard",0.132678171573597,1.22698477777275,1.14329622330109,0.580587058298082,0.74,0,0.702038478848064
"c2_floor_n150_ni_r098",2,"floor",150,FALSE,98,"v2_cohort_posterior_hazard",0.0849156713614404,1.33945729099443,2.37808374229036,0.578562967554766,0.693333333333333,0,0.57733195170059
"c2_floor_n150_ni_r099",2,"floor",150,FALSE,99,"v2_cohort_posterior_hazard",0.115475338370554,1.3549084173815,1.42755794572959,0.586310185790026,0.74,0,0.559096401760768
"c2_floor_n150_ni_r100",2,"floor",150,FALSE,100,"v2_cohort_posterior_hazard",0.110710091658053,1.37888335982427,1.77595637567293,0.571597520650267,0.713333333333333,0,0.593294630522097
"c3_floor_n300_ni_r001",3,"floor",300,FALSE,1,"v2_cohort_posterior_hazard",0.089042226186974,2.01722807137392,2.4031180811326,0.568091366953745,0.713333333333333,0,0.614593076496701
