"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"log_lik_y[275]",-1.16765033522375,-1.12031875,0.159236953127844,0.09848993343,-1.48398717,-1.01454638,1.00037213261333,6336.66222004835,5398.00770470394
"log_lik_y[276]",-1.43416874501125,-1.28634,0.439356438615781,0.29922604152,-2.31414334,-1.03249572,1.0004132224015,7370.26392931643,5807.23699291984
"log_lik_y[277]",-1.14058903402125,-1.10413915,0.128706524353709,0.0824281122,-1.4041776,-1.010240215,0.99992986845294,6091.62481967598,7071.18913067016
"log_lik_y[278]",-2.1729007448625,-2.11640155,0.480697143227224,0.46156710915,-3.047163175,-1.48722537,1.00014082708028,9607.77520561518,7216.90505174917
"log_lik_y[279]",-1.840153163125,-1.78037585,0.419712223390751,0.39376588377,-2.621664075,-1.26369734,1.00076758161097,8969.30144487847,6001.27115481004
"log_lik_y[280]",-1.86929151242875,-1.7902919,0.494057776788432,0.46589674593,-2.78955278,-1.215594565,1.00050801598929,8950.37036108017,6337.15737204349
"log_lik_y[281]",-2.82022832725,-2.69299005,0.927748122543699,0.89973374946,-4.51887954,-1.528546035,1.0002156929923,9380.97014160055,6885.90023922892
"log_lik_y[282]",-2.1490536468625,-2.00754505,0.758598619318034,0.71357108046,-3.593957215,-1.17658998,1.00020575482831,9092.16205016453,6875.5181721212
"log_lik_y[283]",-1.13758532526125,-1.10255385,0.129619596965955,0.0769046117699999,-1.390852985,-1.009114595,0.9999381944258,4937.5313489395,4963.70425357778
"log_lik_y[284]",-1.19203875191,-1.13105715,0.186001532248601,0.11138395737,-1.56815878,-1.01820359,1.0002374723808,7712.62540205527,6257.01282343346
"log_lik_y[285]",-1.55965968843625,-1.48264305,0.370491798223463,0.33747467523,-2.27208423,-1.107703625,1.0001789904024,11120.9371758385,6863.66765607893
"log_lik_y[286]",-1.16698806165375,-1.1172424,0.161268889204027,0.0960362304299999,-1.495961045,-1.01269218,1.00035256014821,4695.61814013228,4603.674134603
"log_lik_y[287]",-1.87077134736875,-1.7678459,0.575756499757999,0.56258680296,-2.95628809,-1.131430045,1.00023699429996,9295.45815062671,5457.64189715688
"log_lik_y[288]",-1.311758126155,-1.2342409,0.267296319408795,0.21342575562,-1.84525439,-1.03488172,1.00039126551961,9537.49448857971,6650.60501540806
"log_lik_y[289]",-1.118423470045,-1.09316895,0.104273004078929,0.0660717724799999,-1.31971214,-1.00916418,1.00065809099653,4791.12514109975,5602.14704251386
"log_lik_y[290]",-1.56362867223,-1.48367345,0.395875326784581,0.36737686398,-2.332588245,-1.085395935,1.00049626703436,8498.01795560264,5287.90344065216
