scen,n,informative,est,rep,conv,brier,cal_int,cal_slope,mean_pred,obs_rate,est_b0,est_b1,est_b2,est_log_sigma,est_log_tau0,est_log_tau1,est_g0,est_g1,est_g2,est_alpha,se_b0,se_b1,se_b2,se_log_sigma,se_log_tau0,se_log_tau1,se_g0,se_g1,se_g2,se_alpha,est_log_sthr,se_log_sthr
ni_n87,87,0,exact,17,1,0.2150740579483456,2.0578882642457805,0.451553535448889,0.6054283267085263,0.896551724137931,-2.3765348983950503,-2.376238471405887,0.6752616029738299,0.11745967684223495,-0.14125209356295937,-0.12956015806672236,-4.000957017730502,-0.7400079234525879,-1.570955931404269,-1.5952444749377994,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ni_n87,87,0,exact,18,1,0.1880299958198319,1.6513898147164314,0.7733417411664659,0.5807720728165063,0.8160919540229885,-2.1033048407325605,-2.4559948677872376,0.6966586790606174,0.2031051170470161,-0.10416718624620737,-0.27277216959572564,-5.926935406469144,-1.0077127010075322,-1.34137349346279,-2.2538207596539572,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ni_n87,87,0,exact,19,1,0.22492395094005774,2.341231023536468,0.3727979846617651,0.6050862910872647,0.9195402298850575,-2.391155184793483,-3.0779025262506248,0.916089184434837,0.20666902742910367,0.4607781430957262,0.14124775439709814,-3.141311762296814,-0.34937256220054047,-1.8814209197952994,-1.2993048340587061,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ni_n87,87,0,exact,20,1,0.1971051019096504,1.7472709147392733,0.5725923309383932,0.627714802344785,0.8735632183908046,-2.0430132899610687,-3.002660654768915,0.9754246679968577,0.18396790254022732,-0.13104685047407355,-0.057829331949209375,-4.35737541810805,-0.8775692710618955,-1.3877996518548352,-1.806137062784976,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ni_n87,87,0,exact,21,1,0.22084406920537228,1.843511719741019,0.7499409095624356,0.5264667887849839,0.8045977011494253,-1.9973928365198008,-2.0384199843166204,0.5614286277170946,0.17786657288753147,0.17421000360642525,-0.1874020501517731,-3.9636030245328246,-0.2011150698141001,-2.559596078409643,-1.6011479580529004,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ni_n87,87,0,exact,22,1,0.1929691277970049,1.395412840528241,0.6130285276162039,0.5566020506947797,0.7816091954022989,-2.3223512232195254,-2.171207328375124,0.7902715817357133,0.18964424931602744,-0.1259844356886903,0.03053064710038373,-4.923052212143692,-0.3305949136458817,-1.7453619721757612,-1.8576049169777005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ni_n87,87,0,exact,23,1,0.18938831449444968,2.9520856296530273,0.9242315885140483,0.6050688060162132,0.9080459770114943,-1.7870216749196146,-2.7335855907302746,0.9150405245339919,0.08340894617431377,0.18074541410648784,-0.13727639881184708,-4.666199728613582,-0.022996020258711145,-1.967504583370387,-1.7212585441229793,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ni_n87,87,0,exact,24,1,0.20188170217590948,2.375212753200944,0.7508865938951513,0.5986865870194606,0.9080459770114943,-2.78575143074361,-2.304072512121433,0.5914787956902359,0.161008688228557,0.29310085042027834,0.03531214459428173,-2.6124745143126944,-0.1237869527285213,-1.8704605967686503,-1.1179945651864633,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ni_n87,87,0,exact,25,1,0.2186008607505618,1.9201940483145372,0.7475742085116882,0.5700983333571529,0.8505747126436781,-2.3088000155390156,-2.065277992233234,0.7395934210295072,0.17065785628395191,0.054077015687981,0.05697533457988375,-3.1250340375272883,-0.3632319928968347,-1.9139222017780286,-1.3097973902581792,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
ni_n87,87,0,exact,26,1,0.18381845287282653,1.8492746500778547,0.9052928234287932,0.6133734781871657,0.8620689655172413,-2.7379463910910604,-2.829759868828574,0.8818935054683612,0.05233936917482161,0.17646479811365684,-0.015886027671970015,-4.522376824872346,-0.12330581985301221,-1.6926844835882107,-1.6838887556779556,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
